City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Tefe,BR,2021-04-15 19:12:03,-3.3542,-64.7114,87.8,74,40,2.37
159,Prado,BR,2021-04-15 19:12:04,-17.3411,-39.2208,79.14,58,83,12.35
160,Orillia,CA,2021-04-15 19:12:04,44.6087,-79.4207,42.8,65,100,11.5
161,Kulhudhuffushi,MV,2021-04-15 19:12:04,6.6221,73.07,83.8,71,30,5.59
162,Avera,US,2021-04-15 19:12:04,33.194,-82.5271,75.2,68,40,8.05
163,Sisimiut,GL,2021-04-15 19:09:21,66.9395,-53.6735,9.64,76,100,22.3
164,Cabano,PH,2021-04-15 19:12:05,10.5869,122.7002,80.15,82,100,11.88
165,Kathmandu,NP,2021-04-15 19:11:30,27.7167,85.3167,62.6,59,75,4.61
166,Terney,RU,2021-04-15 19:12:05,45.0503,136.6092,36.55,67,100,3.47
167,Krasnoarmeysk,RU,2021-04-15 19:12:06,51.0239,45.6969,56.26,47,100,3.47
168,Tomatlan,MX,2021-04-15 19:12:06,19.9333,-105.25,92.68,27,0,11.39
169,Axim,GH,2021-04-15 19:12:07,4.8699,-2.2405,81.68,81,10,7.02
170,Cidreira,BR,2021-04-15 19:12:07,-30.1811,-50.2056,73.31,68,100,13.29
171,Gizo,SB,2021-04-15 19:12:07,-8.103,156.8419,82.18,76,95,8.03
172,Pampa,US,2021-04-15 19:12:08,35.5362,-100.9599,46.4,81,90,12.66
173,Bani,DO,2021-04-15 19:12:08,18.2833,-70.3333,87.8,62,20,5.75
174,Egvekinot,RU,2021-04-15 19:12:08,66.3167,-179.1667,4.95,96,100,6.11
175,Kommunar,RU,2021-04-15 19:12:09,59.6206,30.39,42.8,36,0,8.95
176,Sao Jose Da Coroa Grande,BR,2021-04-15 19:12:09,-8.8978,-35.1478,75.34,89,100,4.76
177,Trairi,BR,2021-04-15 19:12:09,-3.2778,-39.2689,83.25,73,100,11.45
178,Norman Wells,CA,2021-04-15 19:09:26,65.282,-126.8329,39.2,60,40,2.3
179,Atar,MR,2021-04-15 19:12:10,20.5169,-13.0499,96.8,15,0,11.5
180,Boffa,GN,2021-04-15 19:12:10,10.1667,-14.0333,81.99,69,58,7.23
181,Cravo Norte,CO,2021-04-15 19:12:10,6.3017,-70.2041,88.54,50,89,3.49
182,Stromness,GB,2021-04-15 19:12:11,58.965,-3.296,42.8,81,0,10.36
183,Rio Bueno,CL,2021-04-15 19:12:11,-40.3167,-72.9667,59.0,43,40,3.02
184,Husavik,IS,2021-04-15 19:12:11,66.0449,-17.3389,50.0,66,40,24.16
185,Padang,ID,2021-04-15 19:09:20,-0.9492,100.3543,76.77,84,100,2.28
186,Vostok,RU,2021-04-15 19:12:12,46.4856,135.8833,27.03,70,100,4.88
187,Geraldton,AU,2021-04-15 19:09:15,-28.7667,114.6,64.4,52,1,19.57
188,Hamilton,US,2021-04-15 19:08:53,39.1834,-84.5333,54.0,40,75,12.66
189,Eureka,US,2021-04-15 19:11:40,40.8021,-124.1637,62.01,64,0,7.0
190,Olafsvik,IS,2021-04-15 19:12:13,64.8945,-23.7142,44.15,97,100,20.07
191,Ust-Kuyga,RU,2021-04-15 19:12:13,70.0167,135.6,-15.74,99,99,2.73
192,Maragogi,BR,2021-04-15 19:12:13,-9.0122,-35.2225,74.48,91,100,3.42
193,Rock Sound,BS,2021-04-15 19:12:12,24.9,-76.2,72.25,66,4,9.24
194,Kruisfontein,ZA,2021-04-15 19:08:31,-34.0033,24.7314,64.99,83,100,3.0
195,Lavrentiya,RU,2021-04-15 19:12:14,65.5833,-171.0,9.66,94,76,4.7
196,Ostashkov,RU,2021-04-15 19:12:14,57.1467,33.1075,42.57,82,100,12.33
197,Palu,ID,2021-04-15 19:12:15,-0.8917,119.8707,73.81,94,100,2.89
198,Cascais,PT,2021-04-15 19:12:15,38.6979,-9.4215,64.0,88,20,10.36
199,Mezen,RU,2021-04-15 19:12:15,65.8522,44.24,30.56,89,100,4.27
200,Caraballeda,VE,2021-04-15 19:12:16,10.6112,-66.8522,87.8,66,40,3.44
201,Ancud,CL,2021-04-15 19:12:16,-41.8697,-73.8203,64.0,59,20,4.61
202,Kita,ML,2021-04-15 19:12:16,13.0349,-9.4895,97.09,18,90,3.29
203,Celestun,MX,2021-04-15 19:12:17,20.8667,-90.4,88.27,54,26,11.3
204,Yenagoa,NG,2021-04-15 19:12:17,4.9247,6.2642,80.55,86,100,6.04
205,Avarua,CK,2021-04-15 19:12:17,-21.2078,-159.775,78.8,83,75,8.05
206,Klaksvik,FO,2021-04-15 19:12:18,62.2266,-6.589,44.6,100,100,16.11
207,Sao Joao Da Barra,BR,2021-04-15 19:12:18,-21.6403,-41.0511,78.8,57,40,10.36
208,Khatanga,RU,2021-04-15 19:12:18,71.9667,102.5,8.76,95,100,12.8
209,Constitucion,CL,2021-04-15 19:09:01,-35.3333,-72.4167,67.19,58,7,14.16
210,Saint-Philippe,RE,2021-04-15 19:12:19,-21.3585,55.7679,75.99,83,0,4.61
211,Hervey Bay,AU,2021-04-15 19:12:19,-25.2986,152.8535,64.0,88,0,1.01
212,Nanakuli,US,2021-04-15 19:12:19,21.3906,-158.1547,77.0,57,1,8.05
213,Barra Dos Coqueiros,BR,2021-04-15 19:12:20,-10.9089,-37.0386,80.6,74,75,10.36
214,Talisay,PH,2021-04-15 19:09:08,10.2447,123.8494,78.8,94,90,2.3
215,Souillac,MU,2021-04-15 19:12:20,-20.5167,57.5167,77.0,94,75,8.05
216,Erkner,DE,2021-04-15 19:12:21,52.4167,13.75,37.0,87,75,13.8
217,Sharon,US,2021-04-15 19:07:26,41.2331,-80.4934,45.0,53,90,12.66
218,Mae Ramat,TH,2021-04-15 19:12:21,16.984,98.5166,75.51,96,62,1.14
219,Pangnirtung,CA,2021-04-15 19:10:45,66.1451,-65.7125,1.4,66,40,9.22
220,Port Elizabeth,ZA,2021-04-15 19:12:22,-33.918,25.5701,62.6,88,90,8.05
221,Saldanha,ZA,2021-04-15 19:12:22,-33.0117,17.9442,77.0,47,18,11.5
222,Karaton,ID,2021-04-15 19:12:22,-6.3424,106.1045,80.01,88,20,3.44
223,Sinnamary,GF,2021-04-15 19:12:23,5.3833,-52.95,81.32,79,95,14.45
224,Jinchang,CN,2021-04-15 19:10:27,38.4953,102.1739,43.45,20,0,3.78
225,Pedernales,DO,2021-04-15 19:12:23,18.0384,-71.744,81.37,63,5,6.11
226,Chillicothe,US,2021-04-15 19:12:23,39.3331,-82.9824,50.0,49,90,11.5
227,Salalah,OM,2021-04-15 19:12:24,17.0151,54.0924,80.6,78,0,5.75
228,Ilulissat,GL,2021-04-15 19:10:43,69.2167,-51.1,12.2,67,75,9.22
229,Bokoro,TD,2021-04-15 19:12:24,12.3807,17.0568,91.17,6,5,10.47
230,Pevek,RU,2021-04-15 19:12:25,69.7008,170.3133,18.1,79,100,21.79
231,Ponta Do Sol,PT,2021-04-15 19:12:25,32.6667,-17.1,66.2,68,40,11.5
