City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Nadym,RU,65.5333,72.5167,-4.05,96,9,11.39,clear sky
194,A Coruna,ES,43.3713,-8.396,59.0,63,0,2.3,clear sky
195,Awbari,LY,26.5921,12.7805,79.99,29,100,11.27,overcast clouds
196,Dawei,MM,14.0833,98.2,76.48,91,99,1.52,overcast clouds
197,Cefalu,IT,38.0386,14.0229,48.99,82,5,5.99,clear sky
198,San Felipe,VE,10.3399,-68.7425,93.85,35,100,7.63,overcast clouds
199,Xining,CN,36.6167,101.7667,48.06,49,100,8.7,overcast clouds
200,Pevek,RU,69.7008,170.3133,18.55,84,100,19.19,overcast clouds
201,Baijiantan,CN,45.6333,85.1833,61.99,33,17,8.86,few clouds
202,Beira,MZ,-19.8436,34.8389,72.93,65,23,8.9,few clouds
203,Kahului,US,20.8947,-156.47,71.6,100,40,8.05,light rain
204,Gwadar,PK,25.1216,62.3254,81.12,62,100,11.14,overcast clouds
205,Tanout,NE,14.9709,8.8879,90.14,7,12,5.64,few clouds
206,Hearst,CA,49.6835,-83.6665,51.8,28,100,6.91,overcast clouds
207,Esso,RU,55.9333,158.7,27.3,93,100,0.96,overcast clouds
208,Kharp,RU,66.8014,65.8081,-1.48,91,12,9.01,few clouds
209,Tessalit,ML,20.1986,1.0114,90.66,10,4,11.5,clear sky
210,Moose Factory,CA,51.2585,-80.6094,42.8,48,1,13.8,clear sky
211,Kourou,GF,5.1552,-52.6478,82.4,74,75,12.66,broken clouds
212,Mahebourg,MU,-20.4081,57.7,75.2,100,75,11.5,light rain
213,Hasaki,JP,35.7333,140.8333,53.6,40,0,6.91,clear sky
214,Orel-Izumrud,RU,43.4583,39.9244,59.0,88,90,6.71,light rain
215,Iraklion,GR,35.3279,25.1434,64.99,82,20,4.61,few clouds
216,Pandan,PH,14.0453,124.1694,78.75,91,100,36.39,moderate rain
217,Hamilton,US,39.1834,-84.5333,64.99,29,1,6.91,clear sky
218,Grindavik,IS,63.8424,-22.4338,37.4,81,75,29.93,light rain
219,Gat,IL,31.61,34.7642,82.0,40,0,7.9,clear sky
220,Baherden,TM,38.4362,57.4316,74.93,28,100,3.0,overcast clouds
221,Bodden Town,KY,19.2833,-81.25,86.0,70,20,12.66,few clouds
222,Luanda,AO,-8.8368,13.2343,84.2,74,40,9.22,scattered clouds
223,Dikson,RU,73.5069,80.5464,-8.23,100,100,2.24,overcast clouds
224,Khandbari,NP,27.3747,87.2039,62.56,65,32,5.14,scattered clouds
225,Qaqortoq,GL,60.7167,-46.0333,30.2,29,28,9.22,scattered clouds
226,Tukrah,LY,32.5341,20.5791,66.72,68,100,11.18,overcast clouds
