City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Tevaitoa,PF,82.2,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
139,Fort Wellington,GY,82.92,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
141,Axim,GH,81.82,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
147,Hithadhoo,MV,82.72,clear sky,-0.6,73.0833,Scoop Guest House
149,Malabo,GQ,80.6,scattered clouds,3.75,8.7833,Hostal Residencia Morenita
151,Tangwani,PK,84.2,haze,28.2787,68.9972,Malik Hafeez Markeet
154,Saint-Leu,RE,75.2,overcast clouds,-21.15,55.2833,La Caz Oceane
155,Qeshm,IR,78.8,few clouds,26.9581,56.2719,Qeshm Kavan Hotel
160,Viedma,AR,75.47,few clouds,-40.8135,-62.9967,Hotel Cristal
162,Puerto Maldonado,PE,86.0,scattered clouds,-12.6,-69.1833,Wasai Hotel
165,Ariquemes,BR,82.31,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
167,Antalaha,MG,75.0,light rain,-14.9003,50.2788,Hotel Vitasoa
169,Santa Fe,AR,84.99,overcast clouds,-31.6333,-60.7,Conquistador Hotel
175,Pimenta Bueno,BR,81.09,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
179,Nouadhibou,MR,75.2,sand,20.930999999999997,-17.0347,El Medina
180,Rawson,AR,75.51,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
181,Sibolga,ID,75.49,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
183,San Rafael,AR,79.43,few clouds,-34.6177,-68.3301,Hotel San Rafael
184,Ternate,ID,78.85,light rain,0.8,127.4,Grand Dafam Bela Ternate
192,Ixtapa,MX,78.8,clear sky,20.7,-105.2,Hotel Plaza Providencia
195,Awbari,LY,79.99,overcast clouds,26.5921,12.7805,فندق أوباري
196,Dawei,MM,76.48,overcast clouds,14.0833,98.2,Hotel Dawei
204,Gwadar,PK,81.12,overcast clouds,25.1216,62.3254,Sadaf Resort
211,Kourou,GF,82.4,broken clouds,5.1552,-52.6478,Lodge Takini 4
212,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
216,Pandan,PH,78.75,moderate rain,14.0453,124.1694,Bonifacio Lodge
219,Gat,IL,82.0,clear sky,31.61,34.7642,OlusHome
221,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
222,Luanda,AO,84.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
231,Yenangyaung,MM,83.57,clear sky,20.4667,94.8833,Hotel Country
232,Bayji,IQ,81.9,clear sky,34.9311,43.486999999999995,قريه جديده
240,Isangel,VU,77.49,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
241,Rincon,US,78.8,broken clouds,32.296,-81.2354,Days Inn Rincon
242,Sumbe,AO,81.66,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
248,Lorengau,PG,80.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
257,Mahibadhoo,MV,83.77,overcast clouds,3.7833,72.9667,Omadhoo Inn
258,Padang,ID,76.53,moderate rain,-0.9492,100.3543,Mercure Padang
259,Cudahy,US,84.0,clear sky,33.9606,-118.1853,SureStay Hotel by Best Western South Gate
260,Bayshore Gardens,US,87.01,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
262,Namibe,AO,80.56,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
263,Nhulunbuy,AU,78.8,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
268,Pemba,MZ,78.8,few clouds,-12.974,40.5178,Guesthouse Samotina
275,Lompoc,US,75.99,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
277,Saint-Pierre,RE,75.2,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
283,The Valley,AI,86.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
285,Kieta,PG,79.45,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
288,Pangai,TO,77.0,few clouds,-19.8,-174.35,Ha'apai Beach Resort
292,Nazare,BR,82.11,overcast clouds,-13.035,-39.0144,Pousada da Fonte
294,Noumea,NC,75.99,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
